Продукт,Калорийность,Белки,Жиры,Углеводы
�ятерочка],368 кКал,9 г,9 г,70 г
Easy Смузи [Пятерочка],52 кКал,"0,6 г",0 г,"12,5 г"
Energy To Go [Пятерочка],4 кКал,0 г,0 г,"0,5 г"
Fresh Bitter Lemon [Пятерочка],47 кКал,0 г,0 г,"11,6 г"
Immuno Lakto Драконий Фрукт [Пятерочка],88 кКал,"2,6 г","2,5 г","13,9 г"
Jake Vitamincandy [Пятерочка],245 кКал,"0,5 г","0,7 г","88,5 г"
Kids Chocolate [Пятерочка],560 кКал,"4,6 г","36,5 г","53,4 г"
Koukou Roukou [Пятерочка],533 кКал,"2,8 г",31 г,60 г
Абрикос [Пятерочка],44 кКал,"0,9 г","0,1 г",9 г
Авокадо [Пятерочка],212 кКал,2 г,20 г,6 г
Адыгейский Сыр [Пятерочка],220 кКал,19 г,16 г,0 г
Апельсин [Пятерочка],36 кКал,"0,9 г","0,2 г","8,1 г"
Арахис [Пятерочка],610 кКал,30 г,50 г,10 г
Арахис в Кокосе [Пятерочка],550 кКал,15 г,26 г,56 г
Арахис Жареный Солёный [Пятерочка],608 кКал,26 г,50 г,"13,4 г"
Багет Барра [Пятерочка],288 кКал,"10,9 г","1,2 г",57 г
Багет Греческий [Пятерочка],280 кКал,8 г,13 г,34 г
Багет Испанский [Пятерочка],245 кКал,"8,2 г",1 г,50 г
Багет Пшенично-Ржаной [Пятерочка],278 кКал,"9,3 г","5,9 г","46,1 г"
Багет Суворовский [Пятерочка],226 кКал,13 г,"3,5 г",36 г
Багет Традиционный [Пятерочка],267 кКал,"8,4 г","1,2 г","54,3 г"
Багет Французский [Пятерочка],272 кКал,"8,3 г","2,1 г","54,9 г"
Багет Чесночный [Пятерочка],320 кКал,7 г,13 г,44 г
Багет Шале Фитнес [Пятерочка],314 кКал,"9,5 г","1,7 г","68,5 г"
Банан [Пятерочка],89 кКал,"1,1 г","0,3 г",23 г
Батон [Пятерочка],290 кКал,"9,5 г",2 г,59 г
Батон Нарезной [Пятерочка],260 кКал,"7,5 г",3 г,51 г
Батончик с Чесноком [Пятерочка],375 кКал,"7,9 г","4,4 г",48 г
Батончик Сырный [Пятерочка],173 кКал,"5,3 г",4 г,32 г
Блины Рестория [Пятерочка],246 кКал,"5,4 г","14,4 г","23,7 г"
Блины Творожныеан [Пятерочка],158 кКал,16 г,"5,4 г","11,6 г"
Брецель с Кунжутом [Пятерочка],330 кКал,10 г,"7,5 г",56 г
Булочка Даллас [Пятерочка],406 кКал,9 г,"16,9 г","54,5 г"
Булочка из Пшеничной Муки с Кунжутом [Пятерочка],274 кКал,"8,9 г","3,1 г","52,4 г"
Булочка Техас [Пятерочка],401 кКал,"8,9 г",15 г,"57,5 г"
Бульон из Баранины [Пятерочка],70 кКал,5 г,5 г,3 г
Буше Багет Летний [Пятерочка],277 кКал,"9,3 г","1,6 г","56,5 г"
Буше Гипфель с Начинкой Крем [Пятерочка],333 кКал,"4,7 г","17,5 г","39,1 г"
Буше Розан с Яблоком [Пятерочка],257 кКал,3 г,12 г,35 г
Буше Турновер с Сыром и Ветчиной [Пятерочка],370 кКал,"8,1 г","25,5 г",27 г
Буше Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Ватрушка К Чаю [Пятерочка],260 кКал,13 г,8 г,35 г
Вино [Пятерочка],14 кКал,0 г,0 г,"3,5 г"
Виноград Сушеный Светлый [Пятерочка],296 кКал,2 г,"0,5 г",72 г
Виноград Тайфи [Пятерочка],65 кКал,"0,6 г","0,2 г","16,8 г"
Гематоген с Витамином с [Пятерочка],250 кКал,7 г,3 г,54 г
Геркулес Хлопья Овсяные [Пятерочка],348 кКал,"11,5 г","3,3 г","64,8 г"
Гипфель с Клубникой [Пятерочка],361 кКал,"4,7 г",17 г,"47,2 г"
Гипфель с Начинкой Смородина [Пятерочка],347 кКал,5 г,17 г,44 г
Грейпфрут [Пятерочка],29 кКал,"0,7 г","0,2 г","6,5 г"
Грейпфрут Свити [Пятерочка],58 кКал,"0,7 г","0,2 г",9 г
Гречка [Пятерочка],334 кКал,12 г,2 г,67 г
Грудка Куриная [Пятерочка],170 кКал,19 г,10 г,0 г
Груша Желтая [Пятерочка],44 кКал,"0,4 г","0,3 г","10,3 г"
Груша Китайская [Пятерочка],42 кКал,"0,5 г","0,2 г","7,1 г"
Груша Конференция [Пятерочка],48 кКал,"0,7 г","0,9 г","11,7 г"
Груша Красная [Пятерочка],58 кКал,"0,7 г","0,7 г",10 г
Груша Сезонная [Пятерочка],42 кКал,"0,4 г","0,3 г","10,9 г"
Дип из Тунца [Пятерочка],132 кКал,"11,7 г","8,5 г","1,5 г"
Донат [Пятерочка],320 кКал,"5,9 г","14,4 г","39,3 г"
Донат Ореховый [Пятерочка],329 кКал,5 г,21 г,31 г
Донат с Клубничной Начинкой [Пятерочка],417 кКал,"4,8 г",24 г,47 г
Донат с Ореховой Начинкой [Пятерочка],329 кКал,5 г,21 г,35 г
Дыня Эфиопка [Пятерочка],34 кКал,"0,8 г","0,2 г",8 г
Запеканка из Творога [Пятерочка],199 кКал,18 г,"5,4 г","19,6 г"
Запеканка из Творога с Изюмом [Пятерочка],219 кКал,"14,2 г","2,7 г","34,6 г"
Зефир Ванильный [Пятерочка],310 кКал,1 г,0 г,81 г
Йогурт [Пятерочка],75 кКал,"2,8 г","2,5 г","10,2 г"
Какао [Пятерочка],370 кКал,5 г,2 г,85 г
Капуста Квашеная по-Деревенски [Пятерочка],30 кКал,"1,7 г","0,1 г",5 г
Кармашек с Грибной Начинкой [Пятерочка],330 кКал,"5,7 г","20,6 г","30,2 г"
Картошка [Пятерочка],76 кКал,2 г,"0,4 г","16,1 г"
Каша Быстрого Приготовления Овсяная с Клубникой [Пятерочка],290 кКал,"9,5 г","4,5 г",54 г
Каша Овсяная [Пятерочка],299 кКал,"9,5 г",5 г,54 г
Каша Овсяная с Абрикосом [Пятерочка],310 кКал,10 г,5 г,55 г
Кекс Маффин с Ванилином [Пятерочка],426 кКал,"5,2 г","22,8 г",50 г
Кекс Маффин Шоколадный [Пятерочка],410 кКал,"5,5 г",22 г,"47,5 г"
Кета [Пятерочка],184 кКал,"24,3 г","9,6 г",0 г
Кефир [Пятерочка],28 кКал,3 г,0 г,4 г
Киви [Пятерочка],61 кКал,"1,1 г","0,5 г",15 г
Колбаска Кондитерская [Пятерочка],300 кКал,5 г,13 г,40 г
Конверт с Ветчиной и Сыром [Пятерочка],310 кКал,15 г,18 г,22 г
Конвертик с Вишневой Начинкой [Пятерочка],403 кКал,"5,2 г","19,2 г","52,4 г"
Конвертик с Черничной Начинкой [Пятерочка],403 кКал,5 г,19 г,52 г
Крабовые Палочки [Пятерочка],97 кКал,"5,6 г","0,4 г","17,7 г"
Креветки Мелкие [Пятерочка],110 кКал,19 г,2 г,"2,5 г"
Круассан с Маслом [Пятерочка],358 кКал,"7,6 г",17 г,42 г
Круассан с Шоколадно-Ореховой Начинкой [Пятерочка],450 кКал,6 г,28 г,46 г
Круассан с Шоколадной Начинкой [Пятерочка],368 кКал,"4,5 г",22 г,"37,9 г"
Круассан Сливочный [Пятерочка],340 кКал,8 г,20 г,33 г
Крупа Гречневая Ядрица [Пятерочка],329 кКал,"12,6 г","2,6 г",68 г
Крылья Куриные Гриль [Пятерочка],207 кКал,"21,1 г","13,6 г",0 г
Кукурузные Палочки [Пятерочка],470 кКал,6 г,14 г,80 г
Курага [Пятерочка],234 кКал,"5,2 г","0,5 г",55 г
Куриные Пупки Отварные [Пятерочка],81 кКал,"14,6 г","2,5 г","0,4 г"
Курица [Пятерочка],190 кКал,16 г,14 г,0 г
Курица Гриль [Пятерочка],170 кКал,19 г,10 г,0 г
Курник с Курицей и Картофелем [Пятерочка],300 кКал,"10,5 г","12,5 г",35 г
Лаваш Армянский От Бадалова [Пятерочка],280 кКал,9 г,1 г,56 г
Лаваш Армянский Тонкий [Пятерочка],197 кКал,"6,3 г","0,7 г","40,8 г"
Лаваш Тонкий Галстян [Пятерочка],277 кКал,"9,3 г",0 г,"57,6 г"
Лепешка с Соусом Песто [Пятерочка],467 кКал,14 г,22 г,53 г
Лепешка Узбекская [Пятерочка],217 кКал,"12,3 г","5,4 г","29,7 г"
Лимон [Пятерочка],34 кКал,"0,9 г","0,1 г",3 г
Лук Красный [Пятерочка],42 кКал,"1,4 г",0 г,"9,1 г"
Лук Репчатый [Пятерочка],41 кКал,"1,4 г",0 г,"10,4 г"
Льняная Каша [Пятерочка],560 кКал,21 г,44 г,12 г
Манго [Пятерочка],60 кКал,"0,8 г","0,4 г","13,4 г"
Манка [Пятерочка],328 кКал,"10,3 г",1 г,"67,4 г"
Мармелад [Пятерочка],320 кКал,0 г,0 г,81 г
Масло Сливочное [Пятерочка],661 кКал,"0,8 г","82,5 г","1,3 г"
Матнакаш [Пятерочка],225 кКал,"8,1 г",1 г,46 г
Медальон со Льном [Пятерочка],370 кКал,"7,8 г","17,1 г","46,4 г"
Миндаль Жареный [Пятерочка],640 кКал,19 г,55 г,17 г
Мини Багет [Пятерочка],270 кКал,"8,4 г","1,2 г","54,9 г"
Мини Багет с Луком [Пятерочка],263 кКал,"8,5 г","1,2 г","53,3 г"
Мини Багет с Чесночным Маслом [Пятерочка],279 кКал,7 г,"8,4 г",43 г
Минтай [Пятерочка],72 кКал,"15,9 г","0,9 г",0 г
Молоко [Пятерочка],60 кКал,3 г,"3,2 г","4,7 г"
"Молоко 2,5% [Пятерочка]",53 кКал,3 г,"2,5 г","4,7 г"
"Молоко 3,2% [Пятерочка]",60 кКал,3 г,"3,2 г","4,7 г"
Мороженое [Пятерочка],180 кКал,4 г,8 г,22 г
Нектар Манговый с Мякотью [Пятерочка],48 кКал,0 г,0 г,12 г
Нектар Морковно-Яблочный [Пятерочка],20 кКал,"0,5 г",0 г,5 г
Нектар Морковный с Мякотью [Пятерочка],25 кКал,"0,5 г",0 г,"5,5 г"
Нектарин [Пятерочка],44 кКал,"1,1 г","0,3 г",11 г
Овсянка Ан [Пятерочка],103 кКал,"4,4 г","3,8 г","11,8 г"
Овсяное Печенье [Пятерочка],400 кКал,6 г,11 г,69 г
Огурец Свежий [Пятерочка],15 кКал,"0,8 г","0,1 г","2,8 г"
Палочка Сырная [Пятерочка],441 кКал,10 г,26 г,40 г
Персик [Пятерочка],45 кКал,"0,9 г","0,1 г","9,5 г"
Печенье Roleo [Пятерочка],393 кКал,5 г,20 г,72 г
Печенье Кольца [Пятерочка],457 кКал,"7,2 г","14,3 г","75,1 г"
Пирог с Брусникой [Пятерочка],409 кКал,5 г,23 г,46 г
Пирог с Капустой и Яйцом [Пятерочка],257 кКал,8 г,14 г,25 г
Пирожок Домашний с Картофелем [Пятерочка],118 кКал,3 г,"1,5 г",23 г
Пирожок Дрожжевой с Черникой [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пирожок с Капустой [Пятерочка],229 кКал,"4,9 г","6,2 г","38,5 г"
Пирожок с Картошкой [Пятерочка],229 кКал,"5,2 г",7 г,36 г
Пирожок с Мясом/Картофелем [Пятерочка],315 кКал,"9,9 г","19,6 г","24,8 г"
Пирожок с Сосиской [Пятерочка],370 кКал,8 г,25 г,27 г
Пицца с Ветчиной [Пятерочка],259 кКал,10 г,11 г,30 г
Помело [Пятерочка],32 кКал,"0,6 г","0,2 г","6,7 г"
Помидоры [Пятерочка],20 кКал,"1,1 г","0,2 г","3,7 г"
Пончик [Пятерочка],361 кКал,"6,4 г","24,5 г",30 г
Пончик Глазированный с Начинкой со Вкусом Шоколада [Пятерочка],320 кКал,"5,9 г","14,4 г","39,3 г"
Пончики Берлинские [Пятерочка],470 кКал,7 г,21 г,65 г
Пончики Берлинские с Варёной Сгущёнкой [Пятерочка],460 кКал,"7,5 г",22 г,58 г
Пончики Берлинские с Шоколадным Муссом [Пятерочка],470 кКал,"6,5 г",26 г,51 г
"Пончики с Кремом ""Берлинские"" [Пятерочка]",470 кКал,7 г,21 г,65 г
Попкорн [Пятерочка],400 кКал,5 г,7 г,70 г
Редис [Пятерочка],19 кКал,"1,2 г","0,1 г","3,4 г"
Ржаной Багет с Чесноком [Пятерочка],300 кКал,"6,5 г",14 г,45 г
Рис с Курицей и Овощами [Пятерочка],90 кКал,"6,6 г","3,5 г","8,5 г"
Рожок с Сосиской [Пятерочка],270 кКал,7 г,14 г,29 г
